comportement_moy,participation_moy,absence_pct,devoirs_oubli_pct,materiel_oubli_pct,note_finale
0.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.25,9.25
0.0,0.0,0.0,0.0,0.5,8.5
0.0,0.0,0.0,0.0,0.75,6.75
0.0,0.0,0.0,0.0,1.0,6.0
0.0,0.0,0.0,0.25,0.0,9.25
0.0,0.0,0.0,0.25,0.25,8.5
0.0,0.0,0.0,0.25,0.5,7.75
0.0,0.0,0.0,0.25,0.75,6.0
0.0,0.0,0.0,0.25,1.0,5.25
0.0,0.0,0.0,0.5,0.0,8.5
0.0,0.0,0.0,0.5,0.25,7.75
0.0,0.0,0.0,0.5,0.5,7.0
0.0,0.0,0.0,0.5,0.75,5.25
0.0,0.0,0.0,0.5,1.0,4.5
0.0,0.0,0.0,0.75,0.0,6.75
0.0,0.0,0.0,0.75,0.25,6.0
0.0,0.0,0.0,0.75,0.5,5.25
0.0,0.0,0.0,0.75,0.75,3.5
0.0,0.0,0.0,0.75,1.0,2.75
0.0,0.0,0.0,1.0,0.0,6.0
0.0,0.0,0.0,1.0,0.25,5.25
0.0,0.0,0.0,1.0,0.5,4.5
0.0,0.0,0.0,1.0,0.75,2.75
0.0,0.0,0.0,1.0,1.0,2.0
0.0,0.0,0.1,0.0,0.0,9.2
0.0,0.0,0.1,0.0,0.25,8.45
0.0,0.0,0.1,0.0,0.5,7.7
0.0,0.0,0.1,0.0,0.75,5.95
0.0,0.0,0.1,0.0,1.0,5.2
0.0,0.0,0.1,0.25,0.0,8.45
0.0,0.0,0.1,0.25,0.25,7.7
0.0,0.0,0.1,0.25,0.5,6.95
0.0,0.0,0.1,0.25,0.75,5.2
0.0,0.0,0.1,0.25,1.0,4.45
0.0,0.0,0.1,0.5,0.0,7.7
0.0,0.0,0.1,0.5,0.25,6.95
0.0,0.0,0.1,0.5,0.5,6.2
0.0,0.0,0.1,0.5,0.75,4.45
0.0,0.0,0.1,0.5,1.0,3.7
0.0,0.0,0.1,0.75,0.0,5.95
0.0,0.0,0.1,0.75,0.25,5.2
0.0,0.0,0.1,0.75,0.5,4.45
0.0,0.0,0.1,0.75,0.75,2.7
0.0,0.0,0.1,0.75,1.0,1.95
0.0,0.0,0.1,1.0,0.0,5.2
